"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript JSX", "TypeScript", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideDetail\RiderInfo.test.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideDetail\VehicleInfo.test.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideHistory\EmptyRideList.test.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 2, 17
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideHistory\RideHistoryItem.test.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 3, 6, 36
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideHistory\RideHistoryList.test.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 1, 3, 20
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideHistory\RidesHeader.test.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 4, 18
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideMapView\DirectionMap.test.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 5, 4, 38
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideMapView\RideInfoSheet.test.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 4, 6, 39
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideMapView\VerticalDashLine.test.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideRequest\RequestItem.test.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 6, 11, 77
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideRequest\RequestList.test.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 3, 7, 55
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideRequest\RequestSheet.test.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 3, 6, 37
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Rides\NoRidesInfo.test.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 4, 17
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Rides\RideItem.test.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 2, 6, 52
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Rides\RidesHeader.test.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Rides\RidesList.test.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 3, 6, 35
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Settings\DeleteAccountModal.test.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Settings\MapSettingsModal.test.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 1, 10, 56
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Settings\OptionsList.test.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Settings\PasswordModal.test.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 1, 9, 50
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Settings\ProfileSection.test.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 2, 4, 23
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\StartRide\DirectionInfo.test.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 4, 3, 31
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\StartRide\RideInfoSheet.test.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 4, 3, 30
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\StartRide\StartRideButton.test.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 14, 58
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\StartRide\VerticalDashLine.test.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Transactions\TransactionItem.test.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 8, 6, 64
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Transactions\TransactionList.test.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 1, 4, 24
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\UserVehicleScreen\AddVehicleButton.test.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\UserVehicleScreen\SnackBarComponent.test.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 1, 4, 24
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\UserVehicleScreen\StatusModal.test.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\UserVehicleScreen\VehicleItem.test.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 3, 5, 58
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\UserVehicleScreen\VehiclesList.test.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Wallet\BalanceInfo.test.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 4, 9, 45
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Wallet\WalletHeader.test.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
