"filename", "language", "JSON", "JSON with Comments", "Markdown", "JavaScript", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Entry\auth\verificationScreen.js", "JavaScript", 0, 0, 0, 236, 0, 0, 0, 17, 253
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Main\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 174, 0, 0, 12, 186
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Main\Journey.tsx", "TypeScript JSX", 0, 0, 0, 0, 244, 0, 0, 30, 274
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Main\Settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 377, 0, 6, 20, 403
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Main\Wallet.tsx", "TypeScript JSX", 0, 0, 0, 0, 216, 0, 0, 12, 228
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Main\homeScreen.js", "JavaScript", 0, 0, 0, 809, 0, 0, 4, 30, 843
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateAdditional\reviews\reviewsScreen.js", "JavaScript", 0, 0, 0, 145, 0, 0, 0, 5, 150
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateInfo\notifications\notificationsScreen.js", "JavaScript", 0, 0, 0, 196, 0, 0, 0, 15, 211
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\addVehicle\addVehicleScreen.js", "JavaScript", 0, 0, 0, 336, 0, 0, 0, 15, 351
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\availableRides\availableRidesScreen.js", "JavaScript", 0, 0, 0, 280, 0, 0, 0, 11, 291
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\confirmPooling\confirmPoolingScreen.js", "JavaScript", 0, 0, 0, 75, 0, 0, 0, 7, 82
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\endRide\endRideScreen.js", "JavaScript", 0, 0, 0, 474, 0, 0, 4, 14, 492
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\historyRideDetail\historyRideDetailScreen.js", "JavaScript", 0, 0, 0, 396, 0, 0, 0, 19, 415
