"filename", "language", "JSON with Comments", "JSON", "TypeScript JSX", "Markdown", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\historyRideDetail\historyRideDetailScreen.js", "JavaScript", 0, 0, 0, 0, 396, 0, 0, 19, 415
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\message\messageScreen.js", "JavaScript", 0, 0, 0, 0, 260, 0, 0, 13, 273
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\offerRide\offerRideScreen.js", "JavaScript", 0, 0, 0, 0, 425, 0, 0, 17, 442
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\onboarding\onboardingScreen.js", "JavaScript", 0, 0, 0, 0, 292, 0, 0, 16, 308
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\pickLocation\pickLocationScreen.js", "JavaScript", 0, 0, 0, 0, 313, 0, 3, 24, 340
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\pickLocation\pickLocationTestScreen.js", "JavaScript", 0, 0, 0, 0, 130, 0, 1, 14, 145
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\rideComplete\rideCompleteScreen.js", "JavaScript", 0, 0, 0, 0, 76, 0, 0, 7, 83
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\rideDetail\rideDetailScreen.js", "JavaScript", 0, 0, 0, 0, 622, 0, 0, 24, 646
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\rideMapView\rideMapViewScreen.js", "JavaScript", 0, 0, 0, 0, 374, 0, 0, 17, 391
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\rideRequest\rideRequestScreen.js", "JavaScript", 0, 0, 0, 0, 532, 0, 0, 18, 550
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\rides\ridesScreen.js", "JavaScript", 0, 0, 0, 0, 296, 0, 0, 14, 310
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\startRide\startRideScreen.js", "JavaScript", 0, 0, 0, 0, 427, 0, 5, 14, 446
