"filename", "language", "JavaScript", "JSON with Comments", "TypeScript JSX", "TypeScript", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useCreateJourney.integration.test.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 16, 83
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useDeleteAccount.integration.test.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 10, 54
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useDriver.integration.test.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 13, 56
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useEditProfile.integration.test.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 13, 51
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useFetchVehicles.integration.test.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 23, 85
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useFindMatchingJourneys.integration.test.js", "JavaScript", 81, 0, 0, 0, 0, 0, 1, 25, 107
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useLocation.integration.test.js", "JavaScript", 38, 0, 0, 0, 0, 0, 1, 12, 51
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useMapSettings.integration.test.js", "JavaScript", 67, 0, 0, 0, 0, 0, 1, 18, 86
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useMessages.integration.test.js", "JavaScript", 66, 0, 0, 0, 0, 0, 1, 13, 80
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\usePasswordChange.integration.test.js", "JavaScript", 110, 0, 0, 0, 0, 0, 1, 28, 139
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useRegistration.integration.test.js", "JavaScript", 92, 0, 0, 0, 0, 0, 0, 23, 115
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useRideAndDriver.integration.test.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 11, 63
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useUpdateWalletValue.integration.test.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 18, 74
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useUpdateWalletValueFromAmount.integration.test.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 15, 89
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useUser.integration.test.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useUserInfo.integration.test.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 14, 112
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useUserProfile.integration.test.js", "JavaScript", 76, 0, 0, 0, 0, 0, 2, 14, 92
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useUserVehicles.integration.test.js", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 8, 128
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useWalletValue.integration.test.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 9, 62
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Authentication\ForgotPassword.test.js", "JavaScript", 115, 0, 0, 0, 0, 0, 1, 18, 134
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Authentication\Login.test.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 10, 78
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Authentication\MainInfo.test.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 19, 122
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Authentication\Register.test.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 17, 104
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\AddVehicleScreen.test.js", "JavaScript", 117, 0, 0, 0, 0, 0, 0, 20, 137
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\AvailableRidesScreen.test.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 14, 94
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\HistoryRideDetailScreen.test.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 8, 94
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\MessageScreen.test.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 11, 107
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\OfferRideScreen.test.js", "JavaScript", 157, 0, 0, 0, 0, 0, 0, 11, 168
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\PickLocationScreen.test.js", "JavaScript", 110, 0, 0, 0, 0, 0, 0, 11, 121
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\RideDetailScreen.test.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 15, 145
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\StartRideScreen.test.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 8, 89
