"filename", "language", "JSON", "JavaScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\rideMapView\rideMapViewScreen.js", "JavaScript", 0, -354, 0, 1, -15, -368
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\rideRequest\rideRequestScreen.js", "JavaScript", 0, -341, 0, 3, -11, -349
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\rides\ridesScreen.js", "JavaScript", 0, -223, 0, 3, -8, -228
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\startRide\startRideScreen.js", "JavaScript", 0, -405, 0, -4, -12, -421
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateProfile\customerSupport\customerSupportScreen.js", "JavaScript", 0, -192, 0, 1, -8, -199
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateProfile\editProfile\editProfileScreen.js", "JavaScript", 0, 19, 0, 2, -4, 17
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateProfile\rideHistory\rideHistoryScreen.js", "JavaScript", 0, -150, 0, 2, -3, -151
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateProfile\userVehicles\userVehiclesScreen.js", "JavaScript", 0, -107, 0, 0, -7, -114
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateWallet\addAndSendMoney\addAndSendMoneyScreen.js", "JavaScript", 0, -87, 0, 1, -4, -90
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateWallet\bankInfo\bankInfoScreen.js", "JavaScript", 0, -128, 0, 1, -6, -133
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateWallet\creditCard\creditCardScreen.js", "JavaScript", 0, -48, 0, 1, -4, -51
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateWallet\paymentMethods\paymentMethodsScreen.js", "JavaScript", 0, -70, 0, 1, -3, -72
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateWallet\transactions\transactionsScreen.js", "JavaScript", 0, -48, 0, 1, -2, -49
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateWallet\wallet\walletScreen.js", "JavaScript", 0, -176, 0, 1, -8, -183
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\utils\range.js", "JavaScript", 0, 2, 0, 0, 0, 2
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\utils\uploadImage.js", "JavaScript", 0, 13, 0, 0, 2, 15
"Total", "-", 23, 309, -286, 99, 223, 368
