"filename", "language", "JSON", "JSON with Comments", "JavaScript", "Markdown", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Entry\auth\registerScreen.js", "JavaScript", 0, 0, 191, 0, 0, 0, 0, 13, 204
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Entry\auth\verificationScreen.js", "JavaScript", 0, 0, 236, 0, 0, 0, 0, 17, 253
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Main\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 174, 0, 12, 186
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Main\Journey.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 244, 0, 30, 274
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Main\Settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 89, 0, 9, 98
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Main\Wallet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 216, 0, 12, 228
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Main\homeScreen.js", "JavaScript", 0, 0, 136, 0, 0, 0, 2, 9, 147
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateAdditional\reviews\reviewsScreen.js", "JavaScript", 0, 0, 145, 0, 0, 0, 0, 5, 150
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateInfo\notifications\notificationsScreen.js", "JavaScript", 0, 0, 196, 0, 0, 0, 0, 15, 211
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\addVehicle\addVehicleScreen.js", "JavaScript", 0, 0, 98, 0, 0, 0, 0, 7, 105
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\availableRides\availableRidesScreen.js", "JavaScript", 0, 0, 211, 0, 0, 0, 3, 11, 225
